from,to
73BAE2,E97CEF
BF1369,4C31B6
3B5F26,347041
830E97,1FC937
C887F9,A3362E
D12BBC,72D8BE
DB2FB2,081054
03C173,081054
86C8AB,CAEE71
F23FC2,7D1F8E
2E7A2B,F19EE0
71BECA,E60811
D5B0EC,8C6C72
0D10F1,0AE029
8AE5D3,CBFEC2
C398B9,DC9DAC
25229F,C74813
F67EF8,920A54
45B7B9,F1FD80
71BECA,9CDFFF
DEC368,EA87F4
90702B,B0EB1C
415839,C8E6CE
F5660C,2D60CD
9AC562,F8B855
F58538,FDD16D
C887F9,70804F
78A51A,38C931
B8390F,DF6477
45B7B9,8F476A
51CEAE,A3362E
6DC800,4CABD7
1E3801,E8E3D2
78A51A,2C8F44
BF01A5,44A87C
C887F9,841486
509333,CAD6BF
6CEB19,78C210
A765DA,FDD16D
71BECA,2605C8
73BAE2,FFFA25
F19EE0,64A61B
C54209,7EE4EF
C9C42A,73BAE2
127A1A,F081E4
4FCCAD,7C71D7
73BAE2,59D91C
BF1369,B600C6
45B7B9,F79996
211577,B8390F
3B5F26,A60EFC
58D4C9,A2FE3D
45B7B9,22FBA0
38BDBC,B0EB1C
979C02,6CEB19
45B7B9,4CAEA3
127A1A,84111F
BE44ED,F8B855
C9C469,14103B
4F8125,65551A
461A1E,BBC3AC
644CFC,406BA1
07E7F1,AD00AF
FE04AB,E0B135
E8F3BF,809EF1
E3CE85,B22E02
300B58,4D837B
509333,56651E
0712D2,8C6C72
B858CF,352FD3
1E3801,87BD24
920A54,D6F62C
73BAE2,8C6C72
B0EB1C,89E43F
03C173,25A8BA
FE04AB,A2FE3D
A62C7D,AF742F
830E97,FE04AB
DAC29B,9F3CC4
B0EB1C,7AA963
011C89,8C6C72
C94E4A,C0FFF0
1E3801,B0EB1C
4D1100,BCF196
16E7CD,5603DE
8DB030,FE04AB
8221E6,673C2D
03C173,0B3DD6
8F41AD,E73844
38BDBC,FE04AB
8DB030,347041
8C6C72,C4AB3C
4FCCAD,6A5276
211577,4335E4
A3362E,8C6C72
D12BBC,3048B5
4D837B,CF572A
9CD828,7AA963
8AEBB1,68615D
28D4C6,FBB564
746E5C,6E8BC6
07E7F1,9459A8
6D7E66,CFE627
DA4788,BCE4E2
28D4C6,389330
8C6C72,0D6E59
6B20B7,F19EE0
0712D2,B8390F
2C8F44,73BAE2
3B5F26,E47CB2
FE04AB,462333
4CABD7,4D837B
0A5E3D,0712D2
4D1100,A2D673
644CFC,E57A61
DF6477,011C89
78A51A,935F2B
38BDBC,E3826D
96542A,7F2D82
96542A,E97CEF
AF742F,1E3801
985842,4335E4
E6209B,4CABD7
78A51A,ED7A44
38BDBC,A5BD6B
86C8AB,011C89
C9C469,2655FA
AF742F,639FB4
7CDFA1,D45949
0A5E3D,B47223
A77089,EB99E8
90702B,9278E1
A765DA,029C32
6D7E66,E49EAF
7CDFA1,0756B6
1FC937,B0EB1C
4F8125,5603DE
D2092D,AD00AF
7F2D82,59D91C
9459A8,BF897D
A3362E,2909EE
DA4788,4D1100
4FCCAD,9459A8
4E53E3,2CDD67
90702B,C0FFF0
26823C,2BD2F9
AF742F,7E9A2A
A38DC8,6B938A
5DF9E1,E5A956
25229F,9DA14C
5AE8FA,643534
C2835A,CFE627
7F2D82,78ED78
677172,16E7CD
C398B9,A3362E
705811,4CABD7
78ED78,E60811
0A5E3D,035288
D12BBC,59D91C
1E3801,4335E4
3836FA,582251
A2D673,0D10F1
BE44ED,5995DD
1E3801,199C86
830E97,DF6477
D5C787,8F41AD
985842,BCF196
E3CE85,D5B0EC
78A51A,DA3CEA
FE3CF9,0A5E3D
CFE627,4CABD7
FBB564,3836FA
5E302B,28D4C6
5AE8FA,67D977
508520,F19EE0
3F02B9,BCF196
0A5E3D,2BD2F9
90702B,2FA9EB
2909EE,3B5F26
FE3CF9,985842
6A8C5C,4D1100
17B8C2,4CABD7
2C8F44,0A5E3D
A0F191,C9C42A
A0F191,E49EAF
1E3801,C1E387
F67EF8,462333
DAC29B,92C1D9
4C31B6,3048B5
F5660C,E60811
BF95CF,C0BAE4
51CEAE,DC9DAC
5AE8FA,79978F
D5B0EC,84D5CC
211577,64A61B
2C8F44,FDD16D
461A1E,FDD16D
4CABD7,FDD16D
59988D,127A1A
96542A,1FC937
644CFC,1B2020
78ED78,7CDFA1
FBB564,9CDFFF
DAC29B,A3362E
F58538,643534
985842,3F02B9
C9C469,1FC937
8221E6,FBB564
4C8115,7CDFA1
D58C2E,DEA225
522742,7EE4EF
D2092D,C9C42A
36EF43,38BDBC
582251,62E94E
C9C42A,582251
211577,E60811
0D10F1,A2D673
E3CE85,F19EE0
71BECA,81BBDA
86C8AB,0C2859
E8F3BF,F04C1B
86C8AB,F1FD80
71BECA,0712D2
9459A8,65551A
9AC562,DC9DAC
746E5C,D1CF2C
830E97,78A51A
582251,EE3542
96542A,EB30C4
F58538,D8A675
A80E3E,DEA21E
C9C469,0A6FE1
DAAFA3,9CDFFF
C9DB4D,D3BEFE
AB366E,9867E5
C887F9,4C31B6
C9C469,EB99E8
582251,8F6F4C
5AE8FA,BD1B36
830E97,03C173
4C8115,830E97
127A1A,4D1100
07E7F1,C9C42A
979C02,78ED78
522742,50448D
71BECA,C9C42A
0712D2,F58538
2E1D20,DAAFA3
86C8AB,59D91C
FBB564,CFE627
0DF7B6,00C96F
28D4C6,A3FEAF
03C173,04FEF5
D2092D,A3362E
D00B3F,E73844
61FD90,63C191
DA4788,80AD2C
B858CF,C2F594
A62C7D,B0EB1C
8F41AD,BBC3AC
2BD2F9,462333
B8390F,985842
B858CF,1EA6A9
FE04AB,E49EAF
746E5C,2BD2F9
D3BEFE,FB284E
EB99E8,E73844
38BDBC,96542A
DAAFA3,B858CF
2C8F44,8F41AD
0DF7B6,B0EB1C
CF572A,4D837B
FE04AB,EB99E8
BE44ED,C94E4A
28D4C6,E0BAB8
211577,C9C42A
DAC29B,336177
4E53E3,9D1B99
EAF257,C1E387
4E53E3,02FD13
830E97,8C6C72
40E068,4335E4
B858CF,C7BAB1
985842,B88A8B
B0EB1C,EE2C1B
2C8F44,2BD2F9
4D1100,DA4788
49E38C,F19EE0
1FC937,78ED78
920A54,D954F4
3836FA,03C0D1
746E5C,AA5440
DF6477,4E53E3
3B5F26,CD60C5
03C173,6E9A87
D6F62C,920A54
B858CF,0A9D45
6D7E66,B55D61
2C8F44,78C210
9DED68,8A2800
B8390F,3F02B9
A0F191,4CABD7
9AC562,2BD2F9
8AE5D3,DAAB7D
4CABD7,71BECA
C84C89,011C89
415839,B8390F
1E3801,1FC937
86C8AB,953F22
4CABD7,DAAFA3
45B7B9,82C312
5AE8FA,9C6D1F
86DEAF,347041
4CABD7,649D27
BF01A5,EEE8AD
DA4788,C398B9
F58538,56363B
86C8AB,06D3C5
F66120,4CABD7
D2092D,DC9DAC
FBB564,AA5440
FE04AB,03C173
D2092D,C4AB3C
96542A,935F2B
16E7CD,406BA1
03C173,935F2B
BE44ED,A2D673
9CD828,73BAE2
B0EB1C,EB99E8
E60811,AD00AF
830E97,9CD828
2E7A2B,BD6477
DA4788,25A8BA
F44E2A,C9C42A
EC5593,B0EB1C
86C8AB,718A13
9CDFFF,E49EAF
51CEAE,7F2D82
03C173,BE1E27
CF572A,6261FC
4D1100,787CA2
38BDBC,8A2800
6D7E66,921DFF
A62C7D,1EB4A5
E3CE85,96542A
8C6C72,C1E387
3BBC3F,1B7C80
979C02,4F149B
38BDBC,70804F
D58C2E,66BD46
71BECA,B0EB1C
28D4C6,F19EE0
3B5F26,2BD2F9
6B20B7,78852B
4C31B6,2C8F44
920A54,3E52E0
8C6C72,C7E1EB
B0EB1C,6261FC
DEC368,1FC937
9AC562,24B842
86C8AB,E73844
F66120,C1B8EE
78ED78,2BD2F9
B0EB1C,830E97
F5660C,7CDFA1
F19EE0,4335E4
78ED78,8F41AD
B8390F,2BD2F9
5AE8FA,59D91C
76CE79,7CDFA1
F5660C,6BB3C0
EBB6E8,25A8BA
300B58,25A8BA
78ED78,BE1E27
F66120,95404B
FE3CF9,4C8115
AE6747,FE04AB
300B58,3F02B9
B858CF,6A8C5C
746E5C,F19EE0
7F2D82,EB30C4
677172,C8604F
D6F62C,700359
DEC368,DA4788
A0F191,739659
7CDFA1,D7B016
3B5F26,4CABD7
45B7B9,9DDAE6
0DF7B6,07FABF
7CDFA1,4C23E0
79E0AC,2BD2F9
011C89,78ED78
C398B9,4335E4
CF572A,19E680
07E7F1,DC9DAC
EB99E8,920A54
F19EE0,011C89
705811,853198
705811,E5A956
0712D2,B0EB1C
2C8F44,B8390F
C9DB4D,B116E4
3836FA,E73844
16E7CD,73BAE2
86DEAF,9519E5
D2092D,DAD695
45B7B9,51E97D
86DEAF,0AE029
B0EB1C,935F2B
9AC562,DF0DA2
E3CE85,76BE07
3836FA,FBB564
8C6C72,8430D9
D58C2E,1C59E3
920A54,3F02B9
582251,7F2D82
79E0AC,011C89
0712D2,4CABD7
4CABD7,8F41AD
45B7B9,64A61B
38BDBC,E0B135
AF742F,C398B9
C9C469,2BD2F9
61FD90,EE3542
CB0F7E,901362
F5660C,9867E5
28D4C6,DF0DA2
2BD2F9,4D1100
DA4788,127A1A
7F2D82,E73844
C84C89,D529CF
A3362E,E6209B
45B7B9,D52387
A38DC8,406BA1
3B5F26,0712D2
705811,B8390F
920A54,E49EAF
582251,5603DE
920A54,0712D2
C9C469,F537CB
9CD828,B73A13
8DB030,D8A675
DEC368,0A5E3D
86DEAF,921DFF
EAF257,4C31B6
FE3CF9,5DF9E1
28D4C6,B47223
F66120,406BA1
1FC937,9A2B2C
CF572A,C4AB3C
03C173,C8E6CE
45B7B9,FBBAFC
DAAFA3,9CD828
86C8AB,139AA3
3B5F26,DC9DAC
71BECA,1E3801
E49EAF,A765DA
0A5E3D,7CDFA1
B0EB1C,1FB1FA
300B58,2C17CC
D2092D,63C191
4C8115,72D8BE
26823C,56946B
746E5C,E47CB2
71BECA,CBFEC2
A7F6E1,28D4C6
73BAE2,3F02B9
07E7F1,6A8C5C
D5B0EC,E3CE85
5DF9E1,F5660C
C9C42A,AEB16E
9CD828,63A604
4C31B6,C887F9
9AC562,B47223
45B7B9,FCA7E4
45B7B9,79A72F
7F2D82,DC9DAC
D5B0EC,2BD2F9
C9C42A,B8390F
F5660C,A3362E
DA4788,D6F62C
C398B9,9CD828
830E97,E49EAF
C398B9,4B19A7
28D4C6,CD60C5
4E53E3,163AE2
B858CF,3F02B9
A0F191,14103B
8221E6,582251
D58C2E,56E4EE
F5660C,1E3801
07E7F1,FEC87A
1FC937,DAAFA3
25229F,29789B
E6209B,4C8115
86C8AB,3F02B9
1E3801,B8390F
9459A8,03C173
CF572A,A51151
4D1100,300B58
F19EE0,B116E4
78ED78,03C173
C398B9,935F2B
2BD2F9,DF6477
4C31B6,B0EB1C
C887F9,4335E4
6D7E66,65551A
E6209B,D00B3F
0A5E3D,03C0D1
71BECA,F19EE0
1FC937,0712D2
96542A,49E38C
38BDBC,F2B76E
FE04AB,BE1E27
A2D673,EBB6E8
C887F9,1574CD
DAAFA3,C9C42A
4FCCAD,DFC307
8C6C72,8B2E3A
9CD828,78DE4F
16E7CD,D6F62C
DF6477,84D5CC
1E3801,C1B8EE
DA4788,3F02B9
DAAFA3,03C0D1
C887F9,538B0F
920A54,0501BD
D6F62C,D790C2
462333,B8390F
3BBC3F,A2D673
38BDBC,BC5888
0D10F1,DC9DAC
16E7CD,F5660C
8F41AD,DE4221
D2092D,921DFF
105D2F,20511F
61FD90,AC8AC2
16E7CD,830E97
DA4788,A60EFC
E3CE85,1054E9
B81671,B58589
45B7B9,32B6F8
86C8AB,AD00AF
8C6C72,6261FC
6A8C5C,920A54
0A5E3D,B8390F
7F2D82,4335E4
9DED68,269B12
2655FA,E73844
78A51A,B0EB1C
25229F,B55D61
6D7E66,70E034
5AE8FA,A9D1E9
415839,639FB4
D6F62C,4D837B
6B20B7,5AE8FA
322388,1574CD
8DB030,DAD695
DAAFA3,96542A
28D4C6,19E680
522742,569E27
F5660C,347041
1E3801,0E1407
0712D2,E6209B
B55D61,6D7E66
A0F191,FC1312
70E548,FFF539
F44E2A,16E7CD
9CD828,6261FC
830E97,E35E27
300B58,BCE4E2
4F8125,72D8BE
F58538,56946B
73BAE2,53426B
CC26CC,45B7B9
B0EB1C,D5B0EC
F5660C,7D76DC
B0EB1C,04FEF5
28D4C6,C9C42A
D8A675,B8390F
6DC800,7303B0
522742,CED2DC
CF572A,73BAE2
BF1369,D6F62C
B0EB1C,96542A
BAF9B7,DAAFA3
25229F,67D977
71BECA,72D882
BF1369,EA87F4
A38DC8,16E7CD
E3CE85,2C70B4
D6F62C,2909EE
45B7B9,14FDF0
B8390F,1E3801
86DEAF,AA16E3
9D1B99,F04C1B
3836FA,7F2D82
508520,C9C42A
C84C89,2598BB
FE04AB,DF6477
E3CE85,4DE559
D857F1,C9C42A
73BAE2,64A61B
F86DC1,C431F7
8C6C72,2869CA
5AE8FA,9459A8
3BBC3F,3554F8
76CE79,029C32
1E3801,03C0D1
E3CE85,C1E387
B858CF,D954F4
49E38C,A9D1E9
644CFC,42E600
746E5C,B8390F
90702B,5603DE
1FC937,2BD2F9
644CFC,50ACE0
CFE627,4335E4
677172,472438
2C8F44,4CABD7
DA4788,1EA6A9
1E3801,D5B0EC
26823C,1AE5E3
86DEAF,F97408
9DED68,B8390F
B8390F,A3362E
FE04AB,DF5767
86DEAF,268FAA
A62C7D,D7C75D
F86DC1,2BD2F9
E60811,830E97
4FCCAD,7F2D82
11DC2C,478A86
C36232,DC9DAC
76CE79,E60811
73BAE2,C1E387
D3BEFE,75C794
73BAE2,1AE5E3
C84C89,1BBC96
28D4C6,C4AB3C
DA4788,4CABD7
D6F62C,EE4532
2BD2F9,7CDFA1
375D0D,A3362E
705811,0A5E3D
96542A,6CEB19
509333,67D9AF
B8390F,2655FA
8AEBB1,B0EB1C
1FC937,C1B8EE
07E7F1,6EDCBD
4FCCAD,AA5440
378776,D52387
677172,6261FC
BF01A5,2655FA
8C6C72,FBB564
5AE8FA,1FAA7B
86DEAF,AA5440
2A33A7,B0EB1C
F5660C,D3BEFE
4C31B6,AF742F
A80E3E,9697AF
705811,4335E4
28D4C6,F3D38A
FE3CF9,4335E4
23BBF8,45B7B9
D12BBC,2FA9EB
73BAE2,571AE6
F19EE0,C4AB3C
86C8AB,88429E
E3CE85,B0EB1C
38BDBC,00C96F
FE04AB,1FB1FA
4E53E3,0A5E3D
985842,E5A956
522742,23BBF8
3BBC3F,63A604
96542A,3BB35E
375D0D,86DEAF
25229F,81BBDA
C887F9,7AA963
8DB030,E54F58
38BDBC,268FAA
4E53E3,EE1ABB
C887F9,E6209B
DA4788,8A2800
9D1B99,2BD2F9
1E3801,1FAA7B
8C6C72,371F75
4CABD7,7F2D82
DEC368,4D1100
FE3CF9,920A54
830E97,E73844
A2D673,7314A7
CF572A,02FD13
9AC562,59A315
D5B0EC,9278E1
45B7B9,FFFE7D
211577,DC9DAC
23BBF8,A51151
582251,DAD695
C7DE28,087756
B0EB1C,1FC937
9CDFFF,B8390F
AF742F,3048B5
127A1A,E97CEF
E60811,B8390F
AF742F,AD00AF
38BDBC,78C210
8C6C72,E73844
FE3CF9,E49EAF
2655FA,9CD828
78A51A,46D5FD
A2D673,FE04AB
3BBC3F,DC9DAC
9CD828,1E3801
B8390F,E60811
979C02,A3362E
D6F62C,B0EB1C
9D1B99,817A5E
C9C469,515DBB
F66120,E3CE85
2C8F44,705811
705811,73BAE2
D6F62C,7AA963
DA4788,DC9DAC
127A1A,70804F
A9479D,FDD16D
78ED78,9519E5
79E0AC,9867E5
211577,AD00AF
DAC29B,FE8943
0D10F1,D3E88B
F19EE0,59D91C
8C6C72,BF897D
649D27,F58538
6CEB19,DC9DAC
BF01A5,F19EE0
28D4C6,78ED78
D3BEFE,9DA14C
9CDFFF,830E97
8F41AD,2F5469
FE3CF9,830E97
7020BD,3B5F26
B858CF,0C0199
011C89,830E97
79E0AC,6261FC
FE3CF9,DC9DAC
EB99E8,2FA9EB
78A51A,B7E2E9
4E9161,081054
2BD2F9,8F41AD
38BDBC,E60811
0A5E3D,DC9DAC
F44E2A,007EE1
A0F191,1FC937
830E97,16E7CD
E3CE85,79A72F
9CDFFF,DAAFA3
300B58,F242B4
65BE74,36AD63
3F02B9,DC9DAC
4C31B6,C820A3
DAAFA3,B55D61
A3362E,B8390F
746E5C,C9C42A
73BAE2,B8390F
79E0AC,FBB564
D58C2E,E34D45
F44E2A,78ED78
C398B9,C887F9
71BECA,2C8F44
979C02,4E53E3
03C173,2909EE
582251,E73844
D12BBC,0712D2
2909EE,0712D2
86C8AB,78A51A
E6209B,F58538
F5660C,E79AE8
23BBF8,21C164
0A5E3D,8210BD
DA4788,84111F
78ED78,9CDFFF
4D1100,0712D2
A2D673,0A9D45
FE3CF9,B0EB1C
38BDBC,9F850C
0A5E3D,3F02B9
BE44ED,97DB45
DEC368,3D0D46
4E53E3,F19EE0
D5C787,E5A600
16E7CD,03F1E3
F44E2A,1FE5E1
3BBC3F,80A348
7CDFA1,C1E387
1E3801,73BAE2
4CABD7,4D1100
C84C89,A755EA
1E7A74,DE7BDC
8AEBB1,D7B016
C887F9,0AE029
DEC368,462333
7CDFA1,57C706
A38DC8,78C210
8C6C72,AEB16E
9DED68,9519E5
3F02B9,B8390F
B0EB1C,E73844
C398B9,3F02B9
1E3801,7CDFA1
1E3801,AF742F
26823C,389330
A3362E,FDD16D
E3CE85,32B771
985842,D8A675
BE44ED,2909EE
CF572A,389330
211577,7EE4EF
DA4788,2BD2F9
E60811,E49EAF
4C31B6,FE04AB
D2092D,59A315
86DEAF,706E18
705811,40E068
DEC368,920A54
127A1A,65551A
D58C2E,DF6477
746E5C,891797
979C02,85C92C
BE44ED,D7241B
FE04AB,B8390F
C887F9,E5A956
1FC937,B8390F
D5B0EC,DAD695
A0F191,011C89
2C8F44,E49EAF
C9C469,D7BF87
F5660C,1487F0
DEC368,2909EE
D00B3F,2FA9EB
830E97,C1E387
C9C42A,6A5276
C398B9,462333
6A8C5C,40E068
127A1A,DEC368
920A54,9CD828
96542A,18045A
3836FA,B4D00C
79E0AC,1E3801
7F2D82,E97CEF
582251,2CF575
127A1A,C9C42A
4CABD7,3F02B9
4E53E3,28BD47
78A51A,EB30C4
76CE79,C9C42A
7F2D82,A3FEAF
3836FA,D5B0EC
3BBC3F,058C5B
C398B9,0712D2
DF6477,F19EE0
830E97,FE3CF9
8F41AD,5815F2
73BAE2,B0EB1C
A0F191,4DB996
A38DC8,95F423
9CD828,FFFA25
7F2D82,76B0DD
4C8115,0A5E3D
DF6477,64A61B
86DEAF,0712D2
8C6C72,830E97
28D4C6,F1FD80
1E3801,F19EE0
830E97,C69C5A
D2092D,44A87C
0A5E3D,FE3CF9
78A51A,639FB4
6CEB19,CBFEC2
8C6C72,84D5CC
E49EAF,2655FA
25229F,643534
FBB564,D7B016
211577,0712D2
127A1A,E60811
6DC800,03C0D1
B0EB1C,A836BC
F5660C,4335E4
45B7B9,65D322
49E38C,C9C42A
3B5F26,76CE79
CFE627,BC3110
40E068,D8A675
1E3801,A3362E
16E7CD,D9E692
6D7E66,82E57D
8C6C72,78A51A
73BAE2,CD60C5
16E7CD,C0FFF0
746E5C,E8E3D2
415839,5FEE64
FBB564,1AE5E3
3F02B9,4CABD7
95C026,0D10F1
4F8125,935F2B
28D4C6,8C6C72
2BD2F9,4C8115
8C6C72,A3362E
0A5E3D,5603DE
86DEAF,526CD0
9459A8,B0EB1C
644CFC,891797
E3CE85,F66120
4CABD7,C9C42A
FAA897,8221E6
DEC368,6261FC
D5B0EC,2655FA
71BECA,8210BD
16E7CD,1DC6CE
8F41AD,705811
C9C42A,E60811
9CD828,E19C02
4C31B6,C2F594
1F260B,D2092D
4C8115,4335E4
509333,6A5276
23BBF8,64A61B
DAC29B,A7F6E1
EAF257,D8A675
C9C469,C9C42A
38BDBC,3BBC3F
E3CE85,BFD067
3B5F26,3B6AD2
86C8AB,5BE906
1FC937,BB6934
CFE627,7F2D82
FE04AB,2D60CD
C398B9,DAAFA3
509333,90DB21
9DED68,D8A675
86C8AB,0A5E3D
705811,B0EB1C
58EFE4,739659
CF572A,D15825
0A5E3D,B858CF
E60811,2C8F44
E60811,0A5E3D
011C89,3008F3
16E7CD,FFFA25
C887F9,E5A600
461A1E,6E9A87
6DC800,347041
0712D2,FE3CF9
4D1100,462333
6CEB19,097893
8E1919,3F02B9
71BECA,D5020B
582251,59A315
DB2FB2,E5A600
522742,2BD2F9
746E5C,0E1407
A3362E,E49EAF
0712D2,985842
1E3801,78ED78
705811,9278E1
5AE8FA,78852B
F44E2A,2BD2F9
E3CE85,CED2DC
C9C469,F19EE0
0A5E3D,8A2800
E49EAF,FE3CF9
4E53E3,2655FA
6969D0,CFE627
AE6747,FE8943
36EF43,920A54
644CFC,011C89
4E53E3,CAD6BF
A38DC8,597B09
A7F6E1,9D1B99
4E53E3,CD60C5
920A54,526CD0
0A5E3D,E73844
DA4788,DEC368
E3CE85,D1CF2C
9459A8,935F2B
86C8AB,C9C42A
9D1B99,2605C8
7CDFA1,4C8115
BE44ED,D954F4
78ED78,2655FA
8F41AD,B8390F
78A51A,6261FC
582251,4335E4
73BAE2,04FEF5
D12BBC,127A1A
E3CE85,AEB16E
920A54,4335E4
16E7CD,C7E1EB
90702B,FE04AB
3B5F26,7020BD
2E7A2B,ED49BD
D2092D,3836FA
78A51A,3836FA
F66120,1E3801
9D1B99,3BB397
96542A,AD00AF
8F41AD,D5C787
920A54,70804F
79E0AC,921DFF
FE04AB,2FA9EB
C398B9,7E3BF5
D6F62C,4B19A7
B0EB1C,8F41AD
28D4C6,AA5440
8DB030,2C8F44
96542A,B7E2E9
7F2D82,96542A
522742,AC274D
2655FA,4CABD7
705811,AA5440
A3362E,25A8BA
D8A675,E49EAF
23BBF8,65D322
211577,B0EB1C
4E53E3,0BA5DB
AF742F,4D837B
EC5593,1419FD
582251,16E7CD
375D0D,DAAFA3
1E3801,90D224
D58C2E,F97871
03C173,2D60CD
011C89,EB30C4
522742,923C73
16E7CD,D1CF2C
300B58,8F41AD
DF6477,2605C8
25A8BA,0501BD
2909EE,FE3CF9
2909EE,BCF196
BF1369,0712D2
4CABD7,1E3801
23BBF8,C34C1B
746E5C,2C8F44
211577,FE4FC9
C398B9,AF742F
78ED78,830E97
EB99E8,F5660C
B8390F,4C8115
D2092D,AA5440
E60811,4335E4
0A5E3D,891797
9CD828,920A54
644CFC,F8158F
1FC937,4CABD7
D6F62C,A765DA
28D4C6,73BAE2
49E38C,78A51A
7CDFA1,007EE1
D3BEFE,2A7FBF
582251,76B0DD
A80E3E,7FD085
2E7A2B,55A78B
8C6C72,EB30C4
B0EB1C,C9C42A
7CDFA1,0A5E3D
61FD90,71BECA
B858CF,787CA2
0A5E3D,9CDFFF
38BDBC,1EA6A9
03C173,673830
38BDBC,787CA2
C9C42A,2C8F44
2655FA,FE3CF9
1E3801,1AE5E3
CF572A,E5A600
6CEB19,300B58
644CFC,2AED70
B858CF,0AE029
16E7CD,6E8BC6
8F41AD,B0EB1C
8E1919,4D1100
7CDFA1,F23FC2
CF572A,D8A675
86C8AB,6DB7FA
86C8AB,4E53E3
B858CF,32CDD6
03C173,65551A
16E7CD,9867E5
3F02B9,EB99E8
7F2D82,FE04AB
8221E6,B47223
920A54,DA4788
78A51A,1FC937
86C8AB,40BE31
644CFC,59D91C
73BAE2,2605C8
522742,3836FA
1E3801,E3CE85
