from,to
B8390F,78ED78
127A1A,25A8BA
5AE8FA,199C86
B858CF,73BAE2
4D1100,DAAFA3
508520,CE68D1
522742,DE7BDC
28D4C6,2BD2F9
3F02B9,2C8F44
4E53E3,67D977
5AE8FA,DA5F62
E49EAF,1FC937
D8A675,985842
4CABD7,2BD2F9
AA5DD6,C9C42A
26823C,C9C42A
45B7B9,44DAAF
71BECA,3048B5
7CDFA1,011C89
582251,C9C469
6CEB19,96542A
0712D2,D00B3F
76CE79,DAAFA3
40E068,2BD2F9
0A5E3D,639FB4
A62C7D,78C210
0A5E3D,EB30C4
300B58,269B12
71BECA,C0F7F3
2909EE,DAAFA3
9CDFFF,78ED78
979C02,644B02
7F2D82,1FAA7B
F19EE0,7F2D82
0D10F1,985842
4D1100,2BD2F9
CFE627,2C8F44
79E0AC,BF897D
8C6C72,F3D38A
F23FC2,AE19B6
4FCCAD,AD00AF
3F02B9,8210BD
71BECA,AD00AF
23BBF8,A02232
B0EB1C,862D2D
0DF7B6,76BE07
1FC937,9CDFFF
1E3801,9CDFFF
E49EAF,63C191
86DEAF,DAAFA3
C84C89,28D4C6
FE04AB,D5B0EC
AF742F,029C32
9459A8,79E0AC
6CEB19,B7E2E9
D8A675,4CABD7
CF572A,8210BD
011C89,FF23A4
49E38C,32B771
8F41AD,E5A956
E3CE85,582251
979C02,713B0A
D2092D,4E53E3
9459A8,C4AB3C
8C6C72,28D4C6
86C8AB,2C6251
D2092D,011C89
0712D2,A3362E
71BECA,C69C5A
61FD90,79A333
3836FA,78ED78
DAC29B,70804F
9D1B99,F19EE0
16E7CD,0712D2
746E5C,76B0DD
70E548,3048B5
1E3801,C9C42A
705811,935F2B
F66120,AD00AF
A2D673,DC9DAC
8221E6,428261
3BBC3F,4D837B
28D4C6,2F5469
5AE8FA,B47223
508520,EE1ABB
78A51A,7CFAAF
2909EE,CFE627
86E799,2A7FBF
73BAE2,C4AB3C
746E5C,947DAD
16E7CD,F44E2A
4E53E3,8FF3FF
78ED78,1FC937
38BDBC,24B842
677172,1574CD
F44E2A,62E94E
375D0D,03F1E3
5AE8FA,2605C8
16E7CD,C886F4
9D1B99,718A13
61FD90,1E3801
649D27,2BD2F9
C2DD29,BBC3AC
A2D673,FE3CF9
C887F9,6E9A87
D58C2E,739659
B0EB1C,73BAE2
71BECA,59D91C
78A51A,BBC3AC
2BD2F9,DAAFA3
A2D673,4B9FD1
0712D2,4D1100
F66120,D7B016
DEC368,0501BD
F23FC2,4C8115
D5B0EC,1FC937
2C8F44,A3362E
011C89,8A390E
16E7CD,B47223
E3CE85,F1FD80
B858CF,2909EE
4E53E3,389330
EB99E8,65551A
DAAFA3,5816C8
8AEBB1,081054
8221E6,8B33C9
2C8F44,462333
9459A8,C9C42A
38BDBC,D00B3F
9CD828,8C6C72
375D0D,E6209B
71BECA,80C81A
3B5F26,B25D3D
F66120,F19EE0
9DED68,0712D2
3B5F26,B73A13
8A6FEC,76D78E
C398B9,46B653
B0EB1C,1EA6A9
DEC368,787CA2
71BECA,9519E5
5AE8FA,E57A61
D8A675,029C32
73BAE2,EB30C4
DA4788,C7BAB1
F86DC1,B0EB1C
6CEB19,C372B2
D6F62C,4494E5
705811,9CDFFF
830E97,7F1D34
F5660C,EB99E8
2A33A7,0756B6
7CDFA1,A838BF
AF742F,3F02B9
AB366E,C9C42A
07E7F1,1454CF
D2092D,C40D3F
CFE627,46757A
36EF43,7AA361
A0F191,D4BCBE
0A5E3D,96542A
D58C2E,746E5C
677172,639FB4
CB0F7E,98F008
B0EB1C,78ED78
A7F6E1,714E46
DA4788,705811
1E3801,8A2800
B4ADA2,92C1D9
71BECA,16E7CD
0D10F1,46D5FD
C9C42A,011C89
78ED78,5F150C
26823C,3836FA
5E302B,125BAE
C9C469,AD7DE4
211577,AA5440
F23FC2,B0EB1C
4F8125,0E2C2A
A3362E,0A5E3D
0DF7B6,097893
649D27,4D1100
C9DB4D,787CA2
508520,515DBB
DAAFA3,185BA0
461A1E,C0FFF0
45B7B9,D0C669
582251,2FA9EB
520552,B03977
A38DC8,72AED8
F19EE0,C9C469
C84C89,30F6D8
78A51A,A9D1E9
DA4788,EB99E8
1E3801,BF897D
A3362E,4C8115
DAAFA3,639FB4
A3362E,F58538
4FCCAD,5B5B0A
8E1919,2909EE
979C02,F04C1B
979C02,AA5440
23BBF8,1168DB
F5660C,E47CB2
2655FA,A3362E
9DED68,4CABD7
EBB6E8,A2D673
029C32,AF742F
462333,DC9DAC
2E7A2B,0FF3CF
A38DC8,A56ACB
985842,92C1D9
EB99E8,B0EB1C
0A5E3D,011C89
582251,2605C8
F19EE0,C9C42A
985842,8A2800
D2092D,2A7FBF
86DEAF,9B6944
73BAE2,DC9DAC
8C6C72,F02239
73BAE2,2C8F44
D5B0EC,9CDFFF
86DEAF,029C32
F5660C,921DFF
7CDFA1,6BB3C0
4FCCAD,A51151
C84C89,2A7FBF
A0F191,78ED78
7F2D82,CD60C5
A0F191,AC17ED
B0EB1C,0712D2
8DB030,5406DA
5AE8FA,A0F191
C84C89,B47223
C9C42A,0A5E3D
1FC937,65551A
029C32,8F1CB5
71BECA,67D977
A3362E,DF6477
4FCCAD,8D991A
79E0AC,78ED78
16E7CD,04FEF5
FBB564,02FD13
8221E6,7B6935
9CD828,C886F4
B0EB1C,AFDBC7
78ED78,E19C02
45B7B9,4335E4
7F2D82,FBB564
582251,FBB564
AB366E,3A7CF6
0A5E3D,D8A675
C54209,D2092D
7CDFA1,6261FC
B858CF,8A2800
1F260B,64A61B
A80E3E,6B75B3
D2092D,582251
0A5E3D,1EA6A9
DAC29B,5DF9E1
D8A675,D00B3F
582251,9ADB07
A38DC8,E6209B
1FC937,EB30C4
AF742F,744D1D
5DF9E1,830E97
7CDFA1,DAD695
71BECA,03C0D1
E3CE85,A51151
D58C2E,9ADB07
E60811,0756B6
FE04AB,7F2D82
508520,739659
38BDBC,7C34BE
AF742F,B0EB1C
F5660C,D7B016
03C173,269B12
CF572A,6E9A87
76CE79,2909EE
CFE627,E0177C
38BDBC,BE44ED
7CDFA1,862D2D
B858CF,4494E5
6DC800,E6209B
3B5F26,A2D673
AF742F,63C191
7F2D82,F1FD80
746E5C,95F423
D5B0EC,6A8C5C
1E3801,78A51A
45B7B9,8E2BD5
A3362E,2655FA
3836FA,AD00AF
8DB030,8F41AD
70E548,1CE802
4CABD7,E49EAF
920A54,E5A956
582251,B0EB1C
78A51A,AA5440
D5B0EC,EB30C4
3836FA,2BD2F9
A6F33F,746563
1E3801,68615D
B8390F,8C6C72
28D4C6,8F6F4C
D2092D,B47223
8F41AD,8DB030
71BECA,78A51A
EB99E8,96542A
90702B,DA3CEA
3836FA,78A51A
127A1A,985842
03C173,0AE029
C9DB4D,D00B3F
9DED68,D5020B
90702B,0A9D45
8221E6,79A72F
F44E2A,A838BF
73BAE2,4335E4
8F41AD,DC9DAC
B0EB1C,4452BD
0DF7B6,9278E1
8F41AD,BD556C
746E5C,D96E7C
2C8F44,AF742F
D8A675,F58538
E6209B,A3362E
FE3CF9,A2D673
920A54,830E97
71BECA,347041
F44E2A,D45949
508520,804C4A
5AE8FA,87BD24
FAA897,2BD2F9
86DEAF,0DF7B6
23BBF8,81BBDA
5E302B,7F2D82
D2092D,B6F102
D5B0EC,FE3CF9
979C02,44A87C
300B58,4F8125
DA4788,3A1345
3836FA,32B771
C9C42A,DAAFA3
F66120,03F1E3
C9C42A,7CDFA1
4C8115,E49EAF
86DEAF,787CA2
211577,826679
F44E2A,1E3801
3BBC3F,36EB0E
B858CF,D8A675
1FC937,C9C42A
E49EAF,2D60CD
4FCCAD,9CDFFF
462333,1FB1FA
49E38C,830E97
BE44ED,1B7C7F
61FD90,67D977
96542A,32B771
C887F9,07FABF
4D1100,DC9DAC
8C6C72,1AE5E3
EAF257,80C81A
1E3801,BB6934
F5660C,63C191
BE44ED,FE3CF9
28D4C6,59D91C
4D1100,D3BEFE
FE3CF9,E73844
D2092D,76BE07
9CDFFF,705811
375D0D,DF6477
1F260B,72D882
FAA897,D1FCD0
E6209B,1FC937
F44E2A,B4D00C
4F8125,C9C42A
4E53E3,DE7BDC
746E5C,E79AE8
25229F,B47223
9DED68,081054
BAF9B7,920A54
5E302B,A34C85
A80E3E,2A7FBF
979C02,9DA14C
D2092D,6A5276
582251,7CDFA1
3B5F26,119567
644CFC,BC3110
375D0D,AB366E
011C89,C9C42A
1FC937,7CDFA1
26823C,E95ADB
DF6477,C9C42A
9CD828,347041
979C02,59A315
E60811,4C8115
23BBF8,72D882
7020BD,C761E2
011C89,A838BF
FAC175,F19EE0
1E3801,AA5440
985842,DA4788
D12BBC,70804F
A0F191,4335E4
DA4788,A765DA
73BAE2,639FB4
E49EAF,2BD2F9
746E5C,081054
C7DE28,044B9B
DA4788,985842
B858CF,BAF9B7
4CABD7,E60811
4C31B6,B58589
1E3801,E60811
4E53E3,64A61B
E3CE85,B8390F
C2835A,F242B4
462333,2C17CC
211577,4CABD7
A38DC8,0712D2
920A54,BAF9B7
6969D0,920A54
582251,1168DB
C9C42A,0712D2
78A51A,8210BD
B55D61,1D4610
522742,64A61B
7F2D82,B8390F
C9C42A,96542A
73BAE2,59720C
985842,0D10F1
16E7CD,4335E4
71BECA,6CEB19
8221E6,3EED0D
7F2D82,03F1E3
DEC368,7F20E4
029C32,2BD2F9
C9C469,5D23E6
FBB564,921DFF
A2D673,84111F
C887F9,523D0E
EB99E8,C9C469
8221E6,C74813
830E97,5DF9E1
7F2D82,2BD2F9
211577,2BD2F9
78A51A,CFE627
A9479D,B88A8B
127A1A,4CABD7
7F2D82,921DFF
D857F1,AD00AF
38BDBC,DAAB7D
4D1100,E54F58
508520,EE3542
4E53E3,3BB397
1E3801,12E505
7F2D82,A51151
415839,9CDFFF
EAF257,AEB16E
AF742F,4C31B6
28D4C6,DC9DAC
7CDFA1,C9C42A
03C173,6261FC
1E3801,2C8F44
9459A8,1677E3
90702B,F19EE0
CC26CC,3B7736
45B7B9,A4F907
FE3CF9,2655FA
F86DC1,84D5CC
011C89,0A5E3D
C9C469,B0EB1C
6B20B7,406BA1
C9C42A,DC9DAC
E3CE85,1F9A25
AF742F,2C8F44
71BECA,73BAE2
6DC800,A625C2
3836FA,B232B8
509333,7FD085
73BAE2,6261FC
45B7B9,882F22
D2092D,739659
38BDBC,C372B2
A38DC8,E60811
C887F9,3F02B9
A38DC8,B8390F
011C89,DAD695
78A51A,DC9DAC
4D1100,4CABD7
03C173,EB30C4
D6F62C,63A604
029C32,7E4C88
644CFC,B8390F
644CFC,1487F0
B8390F,4CABD7
C84C89,72D882
E3CE85,AA5440
C9C469,DF6477
582251,32B771
96542A,D8A675
746E5C,199C86
EAF257,DAD695
9CD828,65551A
582251,8430D9
07E7F1,59D91C
4E53E3,81BBDA
78A51A,63C191
6CEB19,3F02B9
D8A675,A3362E
6B20B7,B0EB1C
3F02B9,985842
90702B,78C210
E60811,3F02B9
F58538,A3362E
8F41AD,49905F
A2D673,90702B
03C173,830E97
F5660C,639FB4
2A33A7,19E680
38BDBC,3554F8
5AE8FA,0A5E3D
73BAE2,C9C42A
5AE8FA,78A51A
F19EE0,A502A8
830E97,B8390F
F58538,86DEAF
CF572A,78A51A
71BECA,DC9DAC
3BBC3F,7F8980
B0EB1C,E19C02
3B5F26,A2FE3D
6CEB19,FEC87A
8AEBB1,A96E6E
DA4788,300B58
86DEAF,3BBC3F
D5B0EC,7CDFA1
A80E3E,F19EE0
16E7CD,935F2B
EBB6E8,0AE029
0712D2,FDD16D
D6F62C,347041
9CD828,D5B0EC
E3CE85,E8E3D2
4FCCAD,4CABD7
28D4C6,68615D
2BD2F9,8C6C72
A0F191,4DE87A
1E3801,DAD695
86C8AB,3AA776
F5660C,12E505
FE3CF9,A3362E
9D1B99,CC6A08
D5B0EC,9CD828
582251,81BBDA
BAF9B7,347041
8AE5D3,DC9DAC
9AC562,DA3CEA
8DB030,71BECA
0DF7B6,A765DA
920A54,65551A
71BECA,920A54
FE04AB,8DB030
3B5F26,4335E4
705811,25A8BA
C9C469,32B771
79E0AC,AA5440
C9C42A,A3362E
A2D673,A3362E
1E3801,4C23E0
71BECA,32B771
B0EB1C,371F75
FE04AB,F2B76E
86E799,809EF1
462333,7AA963
EAF257,D954F4
9DED68,B0EB1C
522742,F19EE0
90702B,526CD0
9CD828,BF897D
73BAE2,78A51A
C9C469,582251
03C173,B0EB1C
45B7B9,AD7DE4
96542A,0756B6
4FCCAD,428261
F5660C,4C8115
96542A,F58538
96542A,E3CE85
1E3801,CB945C
705811,E57A61
23BBF8,639FB4
462333,4D1100
B0EB1C,C1E387
49E38C,AA5440
73BAE2,87BD24
25229F,DB4C77
B8390F,7F2D82
9CDFFF,CFE627
582251,D15825
6B20B7,C9C42A
644CFC,E47CB2
E3CE85,E97CEF
CF572A,AA5440
0A5E3D,4CABD7
EB99E8,91438A
B0EB1C,523D0E
38BDBC,D7241B
D2092D,78ED78
E6209B,0712D2
746E5C,B0EB1C
520552,920A54
78A51A,1E3801
90702B,CBFEC2
C398B9,3008F3
EAF257,F4E1EA
1E3801,0B3DD6
4E53E3,DF0DA2
9CDFFF,8C6C72
3836FA,D2092D
FE04AB,E60811
9D1B99,B8A46D
985842,B8390F
EB99E8,FE04AB
FBB564,C1E387
4F8125,E60811
AF742F,E54F58
86C8AB,5B4123
E60811,649D27
2BD2F9,E73844
7F2D82,1AE5E3
73BAE2,6D7E66
6CEB19,E5A956
A0F191,4B800B
3836FA,0A5E3D
4C8115,B8390F
D58C2E,EE3542
03C173,1E3801
4E9161,68615D
38BDBC,2FA9EB
B858CF,03C0D1
D58C2E,A0DB92
522742,391CCB
677172,C2F594
011C89,AA5440
FBB564,68615D
9CD828,DAD695
830E97,746E5C
F44E2A,6261FC
DA4788,920A54
23BBF8,20511F
73BAE2,F9AD1F
C887F9,C398B9
EAF257,E5A956
4E53E3,744107
677172,03C0D1
E3CE85,DF0DA2
03C173,0A5E3D
86C8AB,CD60C5
1A32DE,AB28B9
1E3801,4CABD7
C9C42A,4CABD7
73BAE2,CF572A
8221E6,2F5469
49E38C,E8E3D2
D2092D,59D91C
D8A675,DF6477
2BD2F9,985842
DA4788,36EB0E
78A51A,081054
76CE79,E73844
16E7CD,96542A
8C6C72,4DE87A
B8390F,A2D673
985842,C0FFF0
4E53E3,B8A46D
90702B,38BDBC
96542A,BE1E27
1E3801,FAC175
FE3CF9,D8A675
D58C2E,4CC372
E3CE85,18045A
F66120,9CDFFF
508520,40DCB4
D58C2E,8A390E
95C026,C9C42A
B0EB1C,03C173
F19EE0,B47223
86DEAF,D7C75D
4FCCAD,C431F7
51CEAE,AF742F
F5660C,B8390F
3836FA,59D91C
28D4C6,3836FA
38BDBC,E5A600
B8390F,7CDFA1
3836FA,4335E4
BE44ED,185BA0
FAC175,C7E1EB
A9479D,7F8980
375D0D,920A54
7CDFA1,96542A
509333,CD0558
A2D673,2909EE
86DEAF,853198
6DC800,E5A600
1FC937,C1E387
F5660C,4CABD7
644CFC,2BD2F9
F66120,830E97
3F02B9,2909EE
BF1369,70A6B8
4E53E3,E75EBB
5AE8FA,5B1A12
8221E6,B45E5E
9D1B99,64A61B
49E38C,B0EB1C
6D7E66,FDD16D
C9C469,833507
71BECA,B8390F
211577,644B02
49E38C,B47223
71BECA,6261FC
4F8125,9FC83B
985842,8D7356
6D7E66,73BAE2
CF572A,EB30C4
4CABD7,4C8115
FE3CF9,DAAFA3
6D7E66,E6209B
FBB564,389330
746E5C,9459A8
5AE8FA,8FE331
9D1B99,4335E4
D6F62C,3836FA
78A51A,68615D
3B5F26,DA3CEA
4D1100,65551A
B8390F,8F41AD
979C02,28D4C6
6B20B7,1AE5E3
2C8F44,4C8115
8DB030,F8158F
C9C469,935F2B
DF6477,6261FC
B0EB1C,0BCC52
830E97,6A5276
4D837B,DC9DAC
3836FA,6A5276
746E5C,87BD24
920A54,B3BB23
9DED68,935F2B
3BBC3F,38BDBC
830E97,E8E3D2
415839,E5A600
73BAE2,B4D00C
C94E4A,BE44ED
1FC937,830E97
73BAE2,5F150C
644CFC,199C86
DAC29B,E49EAF
03C173,8210BD
A38DC8,658E28
E6209B,E49EAF
1FC937,6E4579
3B5F26,2909EE
03C173,2C8F44
EC5593,6261FC
E49EAF,5DF9E1
DAAFA3,E49EAF
6A9872,EA87F4
16E7CD,F97408
F5660C,76B0DD
79E0AC,A9D1E9
FAC175,C774DD
2C8F44,91438A
A38DC8,78ED78
9AC562,A2D673
CF572A,76B0DD
23BBF8,B47223
9D1B99,4E53E3
C9C469,D0BF6C
58EFE4,9C5F2D
28D4C6,B8A46D
61FD90,6A5276
BAF9B7,B0EB1C
3836FA,F19EE0
E60811,E8E3D2
E3CE85,04FEF5
EAF257,4D837B
F5660C,406BA1
211577,2605C8
211577,9C5F2D
B858CF,830E97
AF742F,D7C75D
5AE8FA,3048B5
979C02,D0BF6C
0A5E3D,73BAE2
FDD16D,2655FA
920A54,1AE5E3
78A51A,1AE5E3
DEC368,985842
23BBF8,51E97D
78A51A,2605C8
DA4788,2909EE
A2D673,B8390F
58EFE4,F19EE0
644CFC,F852E2
FE04AB,D8A675
211577,B4D00C
4FCCAD,C774DD
2655FA,CED2DC
16E7CD,7CDFA1
D5C787,B0EB1C
86C8AB,921DFF
36EF43,91A4B2
8DB030,03C0D1
BAF9B7,B858CF
C29256,DC9DAC
25229F,6A5276
300B58,6CEB19
23BBF8,BBBA3B
9CD828,2B165B
D5B0EC,C9C42A
378776,7A8879
6A8C5C,0712D2
78A51A,C9C42A
522742,3008F3
1E3801,F02239
7CDFA1,49E6AE
86C8AB,76BE07
746E5C,1E3801
71BECA,DAD695
705811,65551A
8C6C72,2BD2F9
4FCCAD,D3BEFE
F19EE0,73BAE2
644CFC,AD00AF
CC26CC,DA03C2
8221E6,953F22
90702B,B8390F
BF1369,2909EE
0712D2,920A54
011C89,A0F191
7F2D82,C1E387
38BDBC,3F02B9
86C8AB,2F5469
2C8F44,4335E4
4C8115,0712D2
462333,E5A600
C9C469,D15825
0A5E3D,6261FC
86DEAF,32596E
644CFC,D9E692
90702B,E5A956
677172,B58589
211577,809EF1
0DF7B6,AB366E
8C6C72,76BE07
A2D673,4D1100
127A1A,3F02B9
71BECA,BF897D
127A1A,8A2800
C887F9,D8A675
2E7A2B,3D0D46
8F41AD,6E8BC6
979C02,45B7B9
830E97,A3362E
78A51A,71BECA
461A1E,CED4D4
1E3801,65551A
509333,1BD9E3
E60811,78ED78
4CABD7,E6209B
AF742F,E5A956
7F2D82,B0EB1C
CF572A,59D91C
8C6C72,9CDFFF
F19EE0,2BD2F9
86C8AB,DC9DAC
BE44ED,3F02B9
686975,845EFF
300B58,114D2C
677172,B0EB1C
03C173,D8A675
2655FA,FDD16D
73BAE2,98C4D4
E8F3BF,C9C42A
B8390F,25A8BA
D2092D,FBB564
79E0AC,0A5E3D
3B5F26,699A0A
8F41AD,E97CEF
F58538,649D27
CF572A,1E3801
E6209B,D8A675
DAC29B,B016AB
FE04AB,C9C42A
AF742F,D5020B
3B5F26,639FB4
BF01A5,F04C1B
F19EE0,8DB030
6DC800,E5A956
D12BBC,73BAE2
DEC368,25A8BA
FBB564,1FAA7B
45B7B9,865EB7
78ED78,4CABD7
8F41AD,84D5CC
0A5E3D,D2092D
127A1A,D8A675
EAF257,2FA9EB
16E7CD,891797
BF01A5,4C84DA
D5B0EC,1E3801
FAC175,AA5440
F58538,029C32
7F2D82,07FABF
38BDBC,6EEE18
127A1A,2909EE
78A51A,705811
7CDFA1,E97CEF
0A5E3D,D5020B
D5B0EC,18045A
E60811,7CDFA1
B0EB1C,07FABF
029C32,0712D2
EAF257,B0EB1C
4FCCAD,E73844
9459A8,B8390F
4C8115,A3362E
A3362E,DAAFA3
0A5E3D,1E3801
E3CE85,62E94E
A765DA,2909EE
EB99E8,620A21
03C173,02FD13
3F02B9,E60811
705811,0756B6
B8390F,FDD16D
49E38C,2C70B4
28D4C6,C1E387
0D10F1,6E481D
38BDBC,6CEB19
A38DC8,0756B6
A0F191,A51151
70E548,DEBC4E
CC26CC,B116E4
508520,AD00AF
E3CE85,2C8F44
FE04AB,70804F
4C8115,2BD2F9
1E3801,A51151
71BECA,639FB4
78ED78,F19EE0
DF6477,F04C1B
9DED68,2BD2F9
B858CF,699A0A
011C89,E49EAF
BE44ED,C887F9
461A1E,0E1407
11DC2C,29CA06
582251,3836FA
522742,7C2870
96542A,985842
C398B9,84111F
2A33A7,B8390F
6A9872,1B2020
86DEAF,D5020B
BE44ED,38BDBC
D857F1,1454CF
F23FC2,4E3F53
D2092D,F4B04D
F86DC1,EB30C4
A80E3E,74D44E
3BBC3F,E5A956
FE3CF9,CFE627
4E53E3,38BCB5
28D4C6,CE6088
8AEBB1,B8390F
16E7CD,03C173
78A51A,78ED78
9DED68,6261FC
3836FA,96542A
D8A675,FE3CF9
2C8F44,78ED78
705811,787CA2
522742,B232B8
03C173,BB6934
8E1919,081054
A0F191,8F6F4C
C9C469,28D4C6
73BAE2,6A8C5C
830E97,7407BF
71BECA,7CDFA1
DF6477,A3362E
D2092D,4F8125
AE6747,D8A675
E49EAF,347041
C2835A,B58589
BF1369,DC9DAC
C398B9,4BE1FD
03C173,BDB828
45B7B9,913D40
0A5E3D,D12BBC
DEC368,1FB1FA
D2092D,76CE79
90702B,A2D673
96542A,C9C42A
4F8125,E73844
A2D673,1EA6A9
830E97,0756B6
642AAA,586281
9D1B99,F979AE
FBB564,8C6C72
28D4C6,644B02
DEC368,3BBC3F
4E53E3,1168DB
9DED68,CBFEC2
78A51A,862D2D
4E53E3,77FF19
520552,E5A956
B0EB1C,65693A
F58538,E73844
79E0AC,F02239
BE44ED,300B58
A2D673,C9EA0A
86DEAF,375D0D
7CDFA1,38C931
78A51A,F19EE0
9DED68,920A54
462333,920A54
6CEB19,9B711E
7CDFA1,3836FA
E6209B,3F02B9
211577,3836FA
DEC368,0712D2
1E3801,8C6C72
EAF257,920A54
8C6C72,4E53E3
2E7A2B,7A1E6B
2C8F44,3F02B9
86DEAF,639FB4
D8A675,DAAFA3
B0EB1C,4CABD7
677172,4CABD7
86DEAF,78C210
EAF257,63C191
C9C469,2A7FBF
A0F191,B0EB1C
105D2F,998930
DA4788,C887F9
B0EB1C,FE3CF9
E8F3BF,2A7FBF
16E7CD,E79AE8
522742,9B6531
C9C469,809EF1
4CABD7,78ED78
4C8115,744D1D
16E7CD,0BCC52
79E0AC,6A5276
2909EE,C887F9
D2092D,A3C8E6
76CE79,985842
705811,C9C42A
8F41AD,D673B4
9AC562,F19EE0
FE04AB,2C8F44
1A32DE,2A7FBF
DAAFA3,C2F594
DF5767,FE04AB
96542A,19E680
23BBF8,E34D45
73BAE2,2BD2F9
F5660C,DC9DAC
3F02B9,4335E4
F19EE0,28D4C6
D2092D,A3FEAF
8221E6,2FA02D
920A54,DA3CEA
582251,F19EE0
F19EE0,4CAEA3
1E3801,DC9DAC
509333,F04C1B
16E7CD,841486
8221E6,CDED00
E8F3BF,438789
FDD16D,0712D2
9CDFFF,0A5E3D
029C32,5C2813
8DB030,4CABD7
375D0D,2655FA
F58538,80A348
3B5F26,DAD695
7F2D82,4CABD7
D5B0EC,90D224
9459A8,C0FFF0
4E53E3,7F2D82
